מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תחום,מחוז תקשוב
113787- כוכב יעקב בנות,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,דן אפרים בירנבאום,ז,1,רגיל,13,0,מדעים,ירושלים
114173- אורות עציון בנים,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,משה גוטליב,ז,34,רגיל,31,0,מדעים,ירושלים
"140939- ישיבת בנ""ע מטה בנימין",מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יעקב עמר,נסים ניצן ימין,ז,3,רגיל,30,0,מדעים,ירושלים
143404- אהל שילה בנים,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,רפאל ממן,ז,1,רגיל,26,0,מדעים,ירושלים
143404- אהל שילה בנים,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,רפאל ממן,ז,2,רגיל,28,0,מדעים,ירושלים
144428- ישיבת צביה מ.אדומים,מעלה אדומים,ממלכתי דתי,ירושלים,יהודי,יעקב עמר,יוסף מנחם פרנקל,ז,2,רגיל,26,0,מדעים,ירושלים
"165852- ישיבת בנ""ע לפיד מודיעין",מודיעין מכבים רעות,ממלכתי דתי,ירושלים,יהודי,תמר אודס,שמואל חיים רוזנבלום,ז,1,רגיל,33,0,מדעים,ירושלים
186395- ראשית,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,שרה אבישי,ז,1,רגיל,28,0,מדעים,ירושלים
238121- אולפנת נוגה,מטה יהודה,ממלכתי דתי,ירושלים,יהודי,תמר אודס,מרים לאה קורן,ז,1,רגיל,31,0,מדעים,ירושלים
238121- אולפנת נוגה,מטה יהודה,ממלכתי דתי,ירושלים,יהודי,תמר אודס,מרים לאה קורן,ז,4,רגיל,27,0,מדעים,ירושלים
420018- על יסודי צור הדסה,צור הדסה,ממלכתי,ירושלים,יהודי,ציפי יעקב,דביר קפלן,ז,2,רגיל,20,0,מדעים,ירושלים
420018- על יסודי צור הדסה,צור הדסה,ממלכתי,ירושלים,יהודי,ציפי יעקב,דביר קפלן,ז,4,רגיל,26,0,מדעים,ירושלים
511618- נווה הראל,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,צפורה זקש,ז,41,רגיל,22,0,מדעים,ירושלים
511618- נווה הראל,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,צפורה זקש,ז,42,רגיל,22,0,מדעים,ירושלים
"540500- ע""ש יצחק נבון מודיעין",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,ענבל לוי,ז,1,רגיל,34,0,מדעים,ירושלים
"540500- ע""ש יצחק נבון מודיעין",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,ענבל לוי,ז,2,רגיל,30,0,מדעים,ירושלים
"615955- אח""י תקוע 2",גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,יהונתן אהוביה רוזנק,ז,1,רגיל,23,0,מדעים,ירושלים
"615955- אח""י תקוע 2",גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,יהונתן אהוביה רוזנק,ז,2,רגיל,28,0,מדעים,ירושלים
"615955- אח""י תקוע 2",גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,יהונתן אהוביה רוזנק,ז,3,רגיל,23,0,מדעים,ירושלים
"615955- אח""י תקוע 2",גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,יהונתן אהוביה רוזנק,ז,4,רגיל,25,0,מדעים,ירושלים
"615971- חב""ד בנות",בית שמש,ממלכתי דתי,ירושלים,יהודי,מרים ויצמן,חנה אריה,ז,1,רגיל,25,0,מדעים,ירושלים
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,2,רגיל,31,0,מדעים,העיר ירושלים
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,3,רגיל,20,0,מדעים,העיר ירושלים
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,4,רגיל,28,0,מדעים,העיר ירושלים
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,5,רגיל,26,0,מדעים,העיר ירושלים
140061- תכון ליד האוניברסיטה,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,ז,6,רגיל,24,0,מדעים,העיר ירושלים
140137- ישיבת נתיב מאיר,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,משה מאיר וייס,ז,3,רגיל,19,0,מדעים,העיר ירושלים
140806- תיכון לאומנויות,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,תומר בליטי דגן,ז,3,רגיל,25,0,מדעים,העיר ירושלים
141390- מדרשיית עלמא אמונה,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,הדס גודמן,ז,1,רגיל,28,0,מדעים,העיר ירושלים
141390- מדרשיית עלמא אמונה,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,הדס גודמן,ז,2,רגיל,30,0,מדעים,העיר ירושלים
144097- המרכז הישראלי למצוינות בחינוך,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,נועה שפי,ז,1,רגיל,27,0,מדעים,העיר ירושלים
144097- המרכז הישראלי למצוינות בחינוך,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,נועה שפי,ז,2,רגיל,27,0,מדעים,העיר ירושלים
144626- תבל גבעה צרפתית,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,נחמה נשי נפתלי,ז,1,רגיל,24,0,מדעים,העיר ירושלים
148056- תיכון בית צפאפא,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,האשם בדר,ז,7,רגיל,28,0,מדעים,העיר ירושלים
148247- מקיף שש שנתי אלטור לבנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מוחמד דעיס,ז,3,רגיל,28,0,מדעים,העיר ירושלים
148247- מקיף שש שנתי אלטור לבנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מוחמד דעיס,ז,5,רגיל,30,0,מדעים,העיר ירושלים
148254- שועפט בנות ב',ירושלים,ממלכתי,העיר ירושלים,ערבי,ח'לדון האדיה,מיסון חלאק,ז,3,רגיל,32,0,מדעים,העיר ירושלים
184010- פריר בית חנינא,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,גורג נבר,ז,4,רגיל,34,0,מדעים,העיר ירושלים
267930- אלמוסתקבל אלאהלייה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,ענאיה אבו סנינה,ז,1,רגיל,29,0,מדעים,העיר ירושלים
440412- תיכון מקיף אלראזי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,אלאא אלעדרה,ז,1,רגיל,45,0,מדעים,העיר ירושלים
440412- תיכון מקיף אלראזי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,אלאא אלעדרה,ז,2,רגיל,39,0,מדעים,העיר ירושלים
440412- תיכון מקיף אלראזי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,אלאא אלעדרה,ז,3,רגיל,9,0,מדעים,העיר ירושלים
477901- מקיף בית חנינה לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,ליאנא האשם,ז,3,רגיל,35,0,מדעים,העיר ירושלים
641522- על יסודי אדם,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,הילה מור,ז,2,רגיל,24,0,מדעים,העיר ירושלים
682351- מסע,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,-,ז,1,רגיל,27,0,מדעים,העיר ירושלים
682351- מסע,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,-,ז,2,רגיל,26,0,מדעים,העיר ירושלים
113324- בית-אל בנים,בית אל,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,ירון גיאת,ז,1,רגיל,24,0,מתמטיקה,ירושלים
512509- קדם,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,אהרון פרידלנדר,ז,1,רגיל,30,0,מתמטיקה,ירושלים
118067- אחמד סאמח אלחלדי,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,ווסים רישק,ז,1,רגיל,19,0,מתמטיקה,העיר ירושלים
118133- טור מכין לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,נור ח'טיב,מנאל פתיאני,ז,1,רגיל,28,0,מתמטיקה,העיר ירושלים
