מוסד,רשות,מחוז תקשוב,מגזר,שם מפקח,שם מנהל,תחום,מספר כיתות בשכבה,מספר תלמידים בשכבה,תלמידים שביצעו משימה אחת לפחות,ממוצע משימות לתלמיד,תלמידים שכלל לא ביצעו משימות,ממוצע משימות לתלמיד- כלל שכבתי
111328-כרמי יהודה,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,אביתר חיים קלין,מתמטיקה,4,83,68,11.7,15,9.58
111393-נועם בנות ק.משה,ירושלים,העיר ירושלים,יהודי,יואל דוב ורצברגר,אורית ווייל,מתמטיקה,3,80,79,16.0,1,15.79
"111450-גוונים מ""מ",קרית ארבע,ירושלים,יהודי,דורית מרגלית רזיאל אלישר,ענבל גונן,מתמטיקה,1,11,11,3.7,0,3.73
112151-מצפה יריחו,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,יוסף יהושע יחזק פלהימר,מתמטיקה,1,21,2,4.0,19,0.38
112250-עשה חייל,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,תרזה שפרה פרנקל,מתמטיקה,3,61,46,15.7,15,11.84
112516-מבוא חורון,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ערן מרגלית,מתמטיקה,1,22,10,4.0,12,1.82
"112953-אהבת ישראל (חרד""ל)",ירושלים,העיר ירושלים,יהודי,יואל דוב ורצברגר,גיא רפאלוב,מתמטיקה,2,45,0,0.0,45,0.00
113217-הר נוף ממד בנות,ירושלים,העיר ירושלים,יהודי,יואל דוב ורצברגר,ברוריה בס,מתמטיקה,2,60,46,1.7,14,1.27
113324-בית-אל בנים,בית אל,ירושלים,יהודי,יוסף יעקב שינובר,ירון גיאת,מתמטיקה,3,73,10,1.8,63,0.25
113787-כוכב יעקב בנות,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,דן אפרים בירנבאום,מתמטיקה,2,23,11,1.5,12,0.74
114058-אריאל,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,שולמית גיטל פרוינד,מתמטיקה,1,29,27,3.7,2,3.45
114173-אורות עציון בנים,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,משה גוטליב,מתמטיקה,4,96,1,1.0,95,0.01
114249-אורות עציון בנות,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,דבורה פרידמן,מתמטיקה,3,63,60,19.9,3,18.92
117002-אל-מוטראן,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ריצ'רד זנאנירי,מתמטיקה,2,60,0,0.0,60,0.00
"117010-ביה""ס אל-פריר",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,דאוד כסאברי,מתמטיקה,1,34,0,0.0,34,0.00
118042-אום טובא,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,וליד אבו טיר,מתמטיקה,4,99,39,1.2,60,0.48
118067-אחמד סאמח אלחלדי,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ווסים רישק,מתמטיקה,3,60,0,0.0,60,0.00
118125-טור מכין לבנים,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,כאלד ראשיד,מתמטיקה,2,43,0,0.0,43,0.00
118133-טור מכין לבנות,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,מנאל פתיאני,מתמטיקה,3,90,66,1.3,24,0.96
118158-איבן אל-היית'ם,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,אסאמה סביטאני,מתמטיקה,7,157,0,0.0,157,0.00
118208-סלואן מכין לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,פאטמה פתיחה,מתמטיקה,3,72,0,0.0,72,0.00
118240-צור באהר מכין,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,עארף אבו חאמד,מתמטיקה,3,96,94,12.0,2,11.77
118281-שעפט לבנות א,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,סוזאן כטיב,מתמטיקה,4,103,0,0.0,103,0.00
118299-אלתורי לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,מהא סלמן,מתמטיקה,4,101,47,4.0,54,1.88
118307-עמריה,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,נפיסה סעידה,מתמטיקה,3,47,22,2.7,25,1.26
118331-מולויה לבנות,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,נהיל אבו סרור,מתמטיקה,2,47,34,2.8,13,2.02
118364-איברהמיה,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,נהאד נאסר,מתמטיקה,3,106,0,0.0,106,0.00
140012-אולפנא תורנית חורב,ירושלים,העיר ירושלים,יהודי,שרה טוויל,עודד עוזיאל מיזליש,מתמטיקה,5,133,110,6.5,23,5.41
140038-עירוני דתי רוטשילד,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,שולמית אייזקס,מתמטיקה,2,48,34,5.8,14,4.10
140046-עירוני ג',ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,רננה אורון,מתמטיקה,3,44,19,4.3,25,1.84
140053-אקדמיה למוסיקה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אילנה אוריצקי,מתמטיקה,2,43,38,1.6,5,1.42
140061-תכון ליד האוניברסיטה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,מתמטיקה,7,176,140,6.6,36,5.28
140079-הגמנסיה העברית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עופר טס,מתמטיקה,6,142,37,12.2,105,3.18
140087-רנה קסין דרכא,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,שגיא כהן,מתמטיקה,4,88,1,6.0,87,0.07
"140103-תיכון ע""ש בויאר",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,דפנה מנשה-ברוך,מתמטיקה,3,100,88,6.3,12,5.57
140129-קרית נוער ירושלים,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,אביחי חרזי,מתמטיקה,4,83,0,0.0,83,0.00
140137-ישיבת נתיב מאיר,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,משה מאיר וייס,מתמטיקה,3,55,3,3.7,52,0.20
140145-ישיבת חורב,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,יצחק דור,מתמטיקה,4,96,1,2.0,95,0.02
"140186-תורני ע""ש פ. הימלפרב",ירושלים,העיר ירושלים,יהודי,אריה משה מארק,שלמה דנינו,מתמטיקה,5,131,93,3.4,38,2.40
140202-עתיד שחר בית שמש,בית שמש,ירושלים,יהודי,תמר אודס,אלינור ביטון,מתמטיקה,3,58,45,38.1,13,29.57
140236-תורני נסויי בנות פלך,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,יעל-סופי פפר,מתמטיקה,4,102,42,2.5,60,1.02
140277-מדרשיית עמליה,ירושלים,העיר ירושלים,יהודי,שרה טוויל,יעל פרגון,מתמטיקה,2,41,14,2.6,27,0.90
140491-אולפנת צביה ירושלים,ירושלים,העיר ירושלים,יהודי,שרה טוויל,עירית הלוי,מתמטיקה,1,32,28,3.3,4,2.91
140665-אולפנא לבנות,קרית ארבע,ירושלים,יהודי,יעקב עמר,שילה דגנית הלוי,מתמטיקה,4,77,71,3.6,6,3.31
"140723-מקיף ע""ש זיו",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אורן לאלו,מתמטיקה,6,174,132,4.4,42,3.32
140731-מקיף גילה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אייל רייכמן,מתמטיקה,3,57,41,15.4,16,11.07
140806-תיכון לאומנויות,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,תומר בליטי דגן,מתמטיקה,4,92,55,2.1,37,1.27
"140855-חט""ב מבשרת",מבשרת ציון,ירושלים,יהודי,ציפי יעקב,גליה שניידר,מתמטיקה,9,261,148,2.0,113,1.11
140863-עמל דקל וילנאי,מעלה אדומים,ירושלים,יהודי,ציפי יעקב,דינה זייצב,מתמטיקה,7,178,126,9.8,52,6.97
140871-תיכון גבעת גונן,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אוהד הופמן,מתמטיקה,3,58,34,1.8,24,1.05
"140889-חט""ב בנים קרית ארבע",קרית ארבע,ירושלים,יהודי,יעקב עמר,מנחם סעדיה,מתמטיקה,3,72,56,16.7,16,13.00
"140939-ישיבת בנ""ע מטה בנימין",מטה בנימין,ירושלים,יהודי,יעקב עמר,נסים ניצן ימין,מתמטיקה,4,83,3,2.0,80,0.07
140962-עירוני מסורתי,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,יאיר אלברטון,מתמטיקה,3,50,46,10.9,4,10.04
140970-אולפנא עופרה,מטה בנימין,ירושלים,יהודי,יעקב עמר,אביה זאב ששר,מתמטיקה,7,136,106,4.6,30,3.58
"141002-חט""ב יצחק רבין",גבעת זאב,ירושלים,יהודי,ציפי יעקב,מזל רחל שמש,מתמטיקה,1,27,24,9.3,3,8.30
141010-חטב מכללת אורט גבעת רם ירושלים,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,מיכל דלאל,מתמטיקה,3,67,55,6.0,12,4.90
141168-תורני לבנות ב.שולמית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,אמיתי יצחק שחור,מתמטיקה,1,36,17,10.4,19,4.92
141176-אולפנת צביה מ. אדומים,מעלה אדומים,ירושלים,יהודי,יעקב עמר,שלמה נריה ירושלים,מתמטיקה,3,74,47,4.9,27,3.12
141309-עירוני פסגת זאב,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,סוניה רפאלי,מתמטיקה,4,77,70,31.4,7,28.56
141390-מדרשיית עלמא אמונה,ירושלים,העיר ירושלים,יהודי,שרה טוויל,הדס גודמן,מתמטיקה,3,91,33,5.4,58,1.96
141499-אור תורה סטון לבנים,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,יהונתן יפת,מתמטיקה,3,46,28,3.5,18,2.11
141549-אור תורה סטון לבנות,ירושלים,העיר ירושלים,יהודי,שרה טוויל,חנה עסיס,מתמטיקה,4,131,95,5.3,36,3.84
141754-ישיבה תיכ' תורה ומדע,ירושלים,העיר ירושלים,יהודי,שרה טוויל,רפאל עמיחי בובליל,מתמטיקה,1,33,33,5.1,0,5.12
143404-אהל שילה בנים,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,רפאל ממן,מתמטיקה,2,61,26,16.0,35,6.82
144097-המרכז הישראלי למצוינות בחינוך,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,נועה שפי,מתמטיקה,2,56,56,8.1,0,8.09
144220-תורני נסויי הרטמן,ירושלים,העיר ירושלים,יהודי,שרה טוויל,שאול דוד,מתמטיקה,3,67,53,4.2,14,3.36
144329-תיכון מכבים רעות,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,רוני אהרון פולט,מתמטיקה,7,181,171,5.9,10,5.59
144428-ישיבת צביה מ.אדומים,מעלה אדומים,ירושלים,יהודי,יעקב עמר,יוסף מנחם פרנקל,מתמטיקה,3,66,53,6.0,13,4.80
144592-קדמה ירושלים,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,מיכל חדאד,מתמטיקה,1,18,13,1.0,5,0.72
144600-ישיבה שעלי תורה,בית שמש,ירושלים,יהודי,תמר אודס,תומר זאבי,מתמטיקה,4,92,67,6.2,25,4.49
144626-תבל גבעה צרפתית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,נחמה נשי נפתלי,מתמטיקה,2,32,23,5.2,9,3.75
"144675-ע""ש יצחק רבין עי""ס",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,רבקה ריקי נגרי,מתמטיקה,6,198,181,11.2,17,10.26
144683-עירוני א',מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,דביר שלומי,מתמטיקה,7,234,216,9.0,18,8.32
144691-ישיבת נעם,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,אבישי סגל,מתמטיקה,4,80,1,1.0,79,0.01
"144717-אולפנת בנ""ע אורות מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,סגלית נחום,מתמטיקה,5,131,60,4.5,71,2.07
"144741-ע""ש רא""ל מרדכי גור",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,שרית סנואני,מתמטיקה,6,184,163,6.7,21,5.95
"144758-ישיבת בנ""ע פסגת זאב",ירושלים,העיר ירושלים,יהודי,שרה טוויל,רענן-יוסף שרמן,מתמטיקה,2,45,19,3.2,26,1.36
"144766-ישיבת בנ""ע נר תמיד חשמונאים",מטה בנימין,ירושלים,יהודי,תמר אודס,איתמר ליברמן,מתמטיקה,4,102,60,11.2,42,6.56
148056-תיכון בית צפאפא,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,האשם בדר,מתמטיקה,8,190,58,12.6,132,3.84
148080-מקיף אבו גוש,אבו גוש,ירושלים,ערבי,ציפי יעקב,ווגיהה איברהים,מתמטיקה,4,78,68,8.2,10,7.14
148155-תיכון שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,נאדר נירוך,מתמטיקה,6,192,188,7.6,4,7.49
148189-טרה סנטה גבשה בנים,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,איברהים פלתס,מתמטיקה,2,42,0,0.0,42,0.00
148197-מקיף בית חנינה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מגדי עוויסאת,מתמטיקה,5,130,0,0.0,130,0.00
148247-מקיף שש שנתי אלטור לבנים,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מוחמד דעיס,מתמטיקה,6,146,40,2.3,106,0.62
148254-שועפט בנות ב',ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,מיסון חלאק,מתמטיקה,4,114,23,2.8,91,0.56
148262-אלעלא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,סלאם עיד,מתמטיקה,2,52,0,0.0,52,0.00
148288-כפר עקב,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,אוסאמה טוטח,מתמטיקה,3,119,2,1.5,117,0.03
160242-מקיף קשת,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אורית צילה סומר,מתמטיקה,3,67,48,5.7,19,4.10
160259-ליבי,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ענבל ישראלי,מתמטיקה,3,57,32,3.2,25,1.77
160416-רעות קהילה דתית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עמיעד יעקב מלצר,מתמטיקה,5,108,89,18.0,19,14.86
160432-ברנקו וייס מקיף בית שמש,בית שמש,ירושלים,יהודי,ציפי יעקב,שמעון ויס,מתמטיקה,7,159,127,6.8,32,5.40
160473-אלוואדי למצוינות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,עבדלרחמן אחסין,מתמטיקה,3,83,43,3.3,40,1.69
"160549-אמי""ת איתן",מעלה אדומים,ירושלים,יהודי,יעקב עמר,שלמה אליהו דהן,מתמטיקה,4,85,36,12.2,49,5.18
160598-ארץ הצבי,ירושלים,העיר ירושלים,יהודי,שרה טוויל,יוסף איזמן,מתמטיקה,2,32,4,1.3,28,0.16
160739-מנזר רוזרי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,הודה קיקיה,מתמטיקה,3,120,0,0.0,120,0.00
"165852-ישיבת בנ""ע לפיד מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,שמואל חיים רוזנבלום,מתמטיקה,7,198,165,4.6,33,3.83
168021-צור באהר בנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,הנאדי יעיש,מתמטיקה,2,40,0,0.0,40,0.00
168419-אולפנת צביה יצירתית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,צפורה כהן,מתמטיקה,3,71,32,3.9,39,1.76
170043-תיכון שחרית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,רני חזון וייס,מתמטיקה,3,50,47,5.2,3,4.92
"170092-קשת ראם ע""ש אליס סליגסברג",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גלית חזיזה קמיניץ,מתמטיקה,4,82,16,1.1,66,0.21
170399-חטיב אורט מינקןף,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,תמר כספי,מתמטיקה,6,181,12,1.1,169,0.07
170514-אורט פלך בנים ספניאן,ירושלים,העיר ירושלים,יהודי,שרה טוויל,דורון לופז,מתמטיקה,4,90,30,1.7,60,0.56
170803-עמל תעופה וחלל,מעלה אדומים,ירושלים,יהודי,ציפי יעקב,יהודית אילוק,מתמטיקה,7,184,138,7.5,46,5.64
178137-אמירה בסמא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,שירין סעיד,מתמטיקה,2,39,0,0.0,39,0.00
178178-סאחורה מכין בנות,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,אמאל אשקיראת,מתמטיקה,7,185,143,2.8,42,2.14
178194-על יסודי אלחית כפר עקב,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,עיסא נאסר,מתמטיקה,2,83,0,0.0,83,0.00
179754-כפר עקב חדש,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,אמאני פלאח,מתמטיקה,3,85,81,5.4,4,5.19
184010-פריר בית חנינא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,גורג נבר,מתמטיקה,3,107,0,0.0,107,0.00
186395-ראשית,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,שרה אבישי,מתמטיקה,2,51,15,4.0,36,1.18
186908-אולפנא בני עקיבא נריה,מטה בנימין,ירושלים,יהודי,תמר אודס,יניב כהן,מתמטיקה,6,111,81,3.8,30,2.75
187575-ביס שמידט קולג' בנות,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,דיתריש בוימר,מתמטיקה,2,36,0,0.0,36,0.00
"188086-דמוקרטי ע""ש נדב",מודיעין מכבים רעות,ירושלים,יהודי,טל כהן,מירב ניר הוד,מתמטיקה,1,34,0,0.0,34,0.00
"192997-חט""ב עיסוויה בנים",ירושלים,העיר ירושלים,ערבי,ענאן קאסם,חדר עביד,מתמטיקה,5,153,69,2.7,84,1.21
193003-מקיף עיסוואיה לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,פאטמה עבידאת,מתמטיקה,6,148,55,6.4,93,2.38
193185-אולפנת שעלי תורה,בית שמש,ירושלים,יהודי,תמר אודס,אלעד בן אליהו,מתמטיקה,4,87,47,3.0,40,1.60
"198085-חט""ב ראס אל-עמוד",ירושלים,העיר ירושלים,ערבי,רנה ח'לף,סאלח סאלח,מתמטיקה,6,135,0,0.0,135,0.00
198192-תיכון צור באהר,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,היתאם סלאמה,מתמטיקה,6,130,27,2.7,103,0.55
237354-תיכון יחד,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,שגיב אלבז,מתמטיקה,4,136,134,13.6,2,13.43
238121-אולפנת נוגה,מטה יהודה,ירושלים,יהודי,תמר אודס,מרים לאה קורן,מתמטיקה,5,131,98,10.2,33,7.66
238493-יסודי אלאימאן לבנים,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,השאם בצבוצ,מתמטיקה,1,20,0,0.0,20,0.00
238501-יסודי אלאימאן בנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,מדלין חמורי,מתמטיקה,2,58,0,0.0,58,0.00
239871-סמהר לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,אמאל טחאן,מתמטיקה,3,106,14,1.4,92,0.19
239905-ג'רוזלם סקול יסודי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מג'ד רביע,מתמטיקה,2,64,0,0.0,64,0.00
246041-אהבת ישראל,ירושלים,העיר ירושלים,יהודי,שירה יזדי,סיון דוד,מתמטיקה,1,27,23,4.3,4,3.67
247411-תיכון סנט טרקמנצ'ץ,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,נארק אברהמיאן,מתמטיקה,1,8,0,0.0,8,0.00
